Records from input file (district: CACHAR) not found in Cachar data file (D:\Early Warning System\CACHAR_SONAI_student_data.csv) using either 'unique_student_identifier' or 'uuid', and not exempted by Class-XII/Promoted or Dropout status:

Original Input Excel Row Index: 37203, unique_student_identifier: '18210705101180009', uuid: '519788482710.0'. Details - Input Class: '4', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37204, unique_student_identifier: '18210203205180002', uuid: '188134551223.0'. Details - Input Class: '6', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37205, unique_student_identifier: '18210203205180003', uuid: '583567943036.0'. Details - Input Class: '6', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37206, unique_student_identifier: '18210203205180006', uuid: '22075068226.0'. Details - Input Class: '6', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37215, unique_student_identifier: '18210708401180001', uuid: '725719958288.0'. Details - Input Class: '5', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37216, unique_student_identifier: '18210708401180002', uuid: '45470175375.0'. Details - Input Class: '5', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37220, unique_student_identifier: '18210708401180008', uuid: '544328799046.0'. Details - Input Class: '5', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37222, unique_student_identifier: '18210708401180011', uuid: '148248118486.0'. Details - Input Class: '5', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37224, unique_student_identifier: '18210708401180013', uuid: '688595469751.0'. Details - Input Class: '5', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37225, unique_student_identifier: '18210610901180003', uuid: '55495226807.0'. Details - Input Class: '6', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37226, unique_student_identifier: '18210610901180005', uuid: '298578080067.0'. Details - Input Class: '6', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37227, unique_student_identifier: '18210610901180008', uuid: '26077234210.0'. Details - Input Class: '6', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37228, unique_student_identifier: '18210610901180009', uuid: '609805931905.0'. Details - Input Class: '6', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37229, unique_student_identifier: '18210610901180010', uuid: '970797987627.0'. Details - Input Class: '6', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37244, unique_student_identifier: '18210708505180023', uuid: '789696299275.0'. Details - Input Class: '4', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37247, unique_student_identifier: '18210708505180026', uuid: '786208524169.0'. Details - Input Class: '5', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37254, unique_student_identifier: '18210708505180041', uuid: '657594722376.0'. Details - Input Class: '9', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37255, unique_student_identifier: '18210201903210182', uuid: '452354217369.0'. Details - Input Class: '6', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37258, unique_student_identifier: '18210708401180016', uuid: '8055775433.0'. Details - Input Class: '5', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37259, unique_student_identifier: '18210708401180017', uuid: '801127278992.0'. Details - Input Class: '5', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37260, unique_student_identifier: '18210708401180018', uuid: '981469099392.0'. Details - Input Class: '3', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37272, unique_student_identifier: '18210705503180022', uuid: '43999220285.0'. Details - Input Class: '5', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37275, unique_student_identifier: '18210201902180003', uuid: '490191379087.0'. Details - Input Class: '6', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37276, unique_student_identifier: '18210201902180004', uuid: '741173899491.0'. Details - Input Class: '6', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37277, unique_student_identifier: '18210201902180008', uuid: '304116933889.0'. Details - Input Class: '6', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37279, unique_student_identifier: '18210611001180001', uuid: '305157237039.0'. Details - Input Class: '6', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37280, unique_student_identifier: '18210611001180002', uuid: '337723099941.0'. Details - Input Class: '6', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37281, unique_student_identifier: '18210611001180003', uuid: '773143819322.0'. Details - Input Class: '6', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37290, unique_student_identifier: '18210714003180003', uuid: '621633560044.0'. Details - Input Class: '5', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37304, unique_student_identifier: '18210710503180007', uuid: '435787343825.0'. Details - Input Class: '5', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37318, unique_student_identifier: '18210714201180001', uuid: '919500522240.0'. Details - Input Class: '5', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37320, unique_student_identifier: '18210714201180004', uuid: '929672020421.0'. Details - Input Class: '5', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37321, unique_student_identifier: '18210707301180001', uuid: '807556223876.0'. Details - Input Class: '6', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37350, unique_student_identifier: '18210611101180001', uuid: '334937592348.0'. Details - Input Class: '6', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37351, unique_student_identifier: '18210611101180005', uuid: '364124443721.0'. Details - Input Class: '6', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37352, unique_student_identifier: '18210611101180006', uuid: '303125891185.0'. Details - Input Class: '6', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37353, unique_student_identifier: '18210611101180011', uuid: '814230565740.0'. Details - Input Class: '6', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37354, unique_student_identifier: '18210611101180020', uuid: '606139316788.0'. Details - Input Class: '6', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37355, unique_student_identifier: '18210611101180021', uuid: '297565252797.0'. Details - Input Class: '6', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37356, unique_student_identifier: '18210611101180026', uuid: '23053841686.0'. Details - Input Class: '6', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37365, unique_student_identifier: '18210712303180004', uuid: '373116432105.0'. Details - Input Class: '6', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37370, unique_student_identifier: '18210712303180007', uuid: '846229765420.0'. Details - Input Class: '5', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37395, unique_student_identifier: '18210700301180009', uuid: '577318125942.0'. Details - Input Class: '7', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37397, unique_student_identifier: '18210704801180003', uuid: '783648747749.0'. Details - Input Class: '4', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37398, unique_student_identifier: '18210704801180004', uuid: '317131236490.0'. Details - Input Class: '4', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37401, unique_student_identifier: '18210712302180005', uuid: '577018481285.0'. Details - Input Class: '5', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37404, unique_student_identifier: '18210724102180001', uuid: '38897264785.0'. Details - Input Class: '5', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37409, unique_student_identifier: '18210724101180001', uuid: '992069994092.0'. Details - Input Class: '4', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37417, unique_student_identifier: '18210703201180010', uuid: '462042500695.0'. Details - Input Class: '5', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37420, unique_student_identifier: '18210611501180001', uuid: '172056158233.0'. Details - Input Class: '6', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37421, unique_student_identifier: '18210611501180002', uuid: '393349893757.0'. Details - Input Class: '6', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37434, unique_student_identifier: '18210716302180008', uuid: '144183681480.0'. Details - Input Class: '4', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37442, unique_student_identifier: '18210714403180003', uuid: '393677192175.0'. Details - Input Class: '4', Input Dropout Status: 'no'.
Original Input Excel Row Index: 37448, unique_student_identifier: '18210716302180021', uuid: '304231420442.0'. Details - Input Class: '4', Input Dropout Status: 'no'.
